Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
14,CA-2022-296327,2022-01-04,2022-01-05,First Class,CJE-00066,Jessica Rodriguez,Consumer,United States,Seattle,Washington,98103,West,OFF-AR-10000195,Office Supplies,Art,Art SKU-015 (Premium Quality),12.11,5,0.2,1.51
15,CA-2022-503886,2022-01-05,2022-01-05,Same Day,CMO-00094,Moore Industries #4,Corporate,United States,Houston,Texas,77002,Central,FUR-TA-10000070,Furniture,Tables,Tables SKU-010 (Premium Quality),291.89,8,0.5,-245.18
16,CA-2022-435322,2022-01-05,2022-01-05,Same Day,HIA-00139,Ian Martin,Home Office,United States,Dallas,Texas,75201,Central,OFF-FA-10000374,Office Supplies,Fasteners,Fasteners SKU-014 (Premium Quality),1.4,5,0.0,0.42
17,CA-2022-249119,2022-01-05,2022-01-05,Same Day,CSM-00020,Smith Corp #9,Corporate,United States,Denver,Colorado,80202,West,OFF-FA-10000375,Office Supplies,Fasteners,Fasteners SKU-015 (Premium Quality),5.56,5,0.0,1.67
18,CA-2022-473543,2022-01-05,2022-01-06,First Class,CJA-00070,James Rodriguez,Consumer,United States,Houston,Texas,77002,Central,FUR-FU-10000105,Furniture,Furnishings,Furnishings SKU-015 (Premium Quality),50.8,8,0.3,-7.26
19,CA-2022-535097,2022-01-06,2022-01-09,Second Class,HHA-00087,Hannah Anderson,Home Office,United States,Phoenix,Arizona,85001,West,TEC-PH-10000409,Technology,Phones,Phones SKU-019 (Premium Quality),177.69,9,0.2,22.21
20,CA-2022-281370,2022-01-07,2022-01-11,Second Class,CRI-00137,Richard Wilson,Consumer,United States,Houston,Texas,77002,Central,FUR-TA-10000089,Furniture,Tables,Tables SKU-029 (Premium Quality),90.98,5,0.6,-118.28
21,CA-2022-996727,2022-01-07,2022-01-12,Standard Class,CDA-00005,Davis Ltd #6,Corporate,United States,Austin,Texas,78701,Central,TEC-MA-10000473,Technology,Machines,Machines SKU-023 (Premium Quality),207.59,2,0.1,27.68
22,CA-2022-503661,2022-01-07,2022-01-12,Standard Class,CJO-00131,John Miller,Consumer,United States,Houston,Texas,77002,Central,FUR-CH-10000032,Furniture,Chairs,Chairs SKU-002 (Premium Quality),31.22,5,0.6,-35.12
23,CA-2022-950125,2022-01-07,2022-01-07,Same Day,CRO-00005,Robert Martin,Consumer,United States,Las Vegas,Nevada,89101,West,TEC-AC-10000432,Technology,Accessories,Accessories SKU-012 (Premium Quality),126.14,8,0.2,18.92
24,CA-2022-207789,2022-01-07,2022-01-12,Standard Class,HTI-00144,Tina Rodriguez,Home Office,United States,Cleveland,Ohio,44114,East,FUR-FU-10000097,Furniture,Furnishings,Furnishings SKU-007 (Premium Quality),23.1,10,0.4,-7.7
25,CA-2022-608042,2022-01-08,2022-01-12,Second Class,CWI-00043,Wilson Holdings #6,Corporate,United States,Atlanta,Georgia,30303,South,OFF-LA-10000345,Office Supplies,Labels,Labels SKU-015 (Premium Quality),3.53,8,0.2,0.88
26,CA-2022-487838,2022-01-09,2022-01-11,First Class,CJO-00003,Joseph Jones,Consumer,United States,Nashville,Tennessee,37203,South,FUR-CH-10000053,Furniture,Chairs,Chairs SKU-023 (Premium Quality),49.48,5,0.1,2.75
27,CA-2022-708684,2022-01-09,2022-01-09,Same Day,CDA-00005,Davis Ltd #6,Corporate,United States,Phoenix,Arizona,85001,West,OFF-LA-10000344,Office Supplies,Labels,Labels SKU-014 (Premium Quality),6.25,9,0.2,1.56
28,CA-2022-372194,2022-01-09,2022-01-16,Standard Class,HNO-00074,Nora Jackson,Home Office,United States,Newark,New Jersey,07102,East,OFF-ST-10000259,Office Supplies,Storage,Storage SKU-019 (Premium Quality),48.26,7,0.2,-0.0
29,CA-2022-727494,2022-01-09,2022-01-09,Same Day,HNO-00005,Nora Jones,Home Office,United States,New York City,New York,10011,East,OFF-BI-10000156,Office Supplies,Binders,Binders SKU-006 (Premium Quality),16.07,5,0.1,4.46
30,CA-2022-301644,2022-01-09,2022-01-11,First Class,HQU-00073,Quinn Anderson,Home Office,United States,Houston,Texas,77002,Central,OFF-FA-10000371,Office Supplies,Fasteners,Fasteners SKU-011 (Premium Quality),3.1,3,0.2,0.39
31,CA-2022-262367,2022-01-09,2022-01-10,First Class,CDA-00088,David Rodriguez,Consumer,United States,Boston,Massachusetts,02116,East,OFF-BI-10000174,Office Supplies,Binders,Binders SKU-024 (Premium Quality),20.01,3,0.1,5.56
32,CA-2022-775423,2022-01-09,2022-01-16,Standard Class,CTH-00031,Thomas & Sons #5,Corporate,United States,Chicago,Illinois,60611,Central,OFF-LA-10000348,Office Supplies,Labels,Labels SKU-018 (Premium Quality),1.98,2,0.0,0.79
33,CA-2022-589097,2022-01-10,2022-01-12,First Class,HFI-00134,Fiona Wilson,Home Office,United States,Philadelphia,Pennsylvania,19104,East,OFF-PA-10000228,Office Supplies,Paper,Paper SKU-018 (Premium Quality),16.53,8,0.2,4.14
34,CA-2022-583000,2022-01-10,2022-01-10,Same Day,HQU-00045,Quinn Rodriguez,Home Office,United States,Salt Lake City,Utah,84101,West,OFF-PA-10000218,Office Supplies,Paper,Paper SKU-008 (Premium Quality),11.57,4,0.0,4.63
35,CA-2022-991616,2022-01-12,2022-01-13,First Class,CWI-00008,Wilson Holdings #8,Corporate,United States,Pittsburgh,Pennsylvania,15213,East,FUR-CH-10000056,Furniture,Chairs,Chairs SKU-026 (Premium Quality),17.13,1,0.0,2.57
36,CA-2022-555686,2022-01-12,2022-01-17,Standard Class,HAL-00019,Alice Lee,Home Office,United States,Columbus,Ohio,43215,East,TEC-CO-10000482,Technology,Copiers,Copiers SKU-002 (Premium Quality),1135.45,7,0.0,510.95
37,CA-2022-916323,2022-01-12,2022-01-14,Second Class,HGE-00009,George Hernandez,Home Office,United States,Tampa,Florida,33602,South,OFF-SU-10000271,Office Supplies,Supplies,Supplies SKU-001 (Premium Quality),22.76,8,0.4,-9.48
38,CA-2022-157311,2022-01-13,2022-01-13,Same Day,HGE-00117,George Rodriguez,Home Office,United States,Los Angeles,California,90036,West,OFF-SU-10000294,Office Supplies,Supplies,Supplies SKU-024 (Premium Quality),37.13,9,0.2,-2.32
39,CA-2022-803619,2022-01-13,2022-01-17,Second Class,CRI-00130,Richard Taylor,Consumer,United States,Dallas,Texas,75201,Central,OFF-SU-10000296,Office Supplies,Supplies,Supplies SKU-026 (Premium Quality),28.65,10,0.2,-1.79
40,CA-2022-220614,2022-01-13,2022-01-15,Second Class,CMO-00105,Moore Industries #7,Corporate,United States,Miami,Florida,33139,South,TEC-CO-10000491,Technology,Copiers,Copiers SKU-011 (Premium Quality),470.9,5,0.2,147.16
41,CA-2022-279708,2022-01-13,2022-01-13,Same Day,CJO-00044,Johnson LLC #6,Corporate,United States,Baltimore,Maryland,21201,East,OFF-ST-10000244,Office Supplies,Storage,Storage SKU-004 (Premium Quality),3.16,1,0.2,-0.0
42,CA-2022-824730,2022-01-14,2022-01-14,Same Day,CJO-00100,Joseph Smith,Consumer,United States,Pittsburgh,Pennsylvania,15213,East,OFF-AP-10000139,Office Supplies,Appliances,Appliances SKU-019 (Premium Quality),45.42,2,0.0,11.36
43,CA-2022-299928,2022-01-14,2022-01-16,First Class,HAL-00014,Alice Jackson,Home Office,United States,Baltimore,Maryland,21201,East,FUR-CH-10000048,Furniture,Chairs,Chairs SKU-018 (Premium Quality),97.11,4,0.0,14.57
44,CA-2022-772751,2022-01-15,2022-01-19,Second Class,CBR-00110,Brown Co #7,Corporate,United States,Las Vegas,Nevada,89101,West,TEC-CO-10000495,Technology,Copiers,Copiers SKU-015 (Premium Quality),1431.52,10,0.2,447.35
45,CA-2022-165126,2022-01-16,2022-01-16,Same Day,CMA-00104,Martin Consulting #2,Corporate,United States,Pittsburgh,Pennsylvania,15213,East,OFF-EN-10000329,Office Supplies,Envelopes,Envelopes SKU-029 (Premium Quality),3.3,8,0.3,0.23
46,CA-2022-545904,2022-01-16,2022-01-16,Same Day,CJO-00105,Joseph Rodriguez,Consumer,United States,Albany,New York,12203,East,OFF-FA-10000386,Office Supplies,Fasteners,Fasteners SKU-026 (Premium Quality),5.69,10,0.4,-0.95
47,CA-2022-318628,2022-01-17,2022-01-21,Standard Class,CRI-00111,Richard Brown,Consumer,United States,Boston,Massachusetts,02116,East,TEC-AC-10000423,Technology,Accessories,Accessories SKU-003 (Premium Quality),15.27,1,0.0,4.89
48,CA-2022-531485,2022-01-17,2022-01-24,Standard Class,CAN-00071,Anderson Ventures #6,Corporate,United States,Milwaukee,Wisconsin,53202,Central,OFF-LA-10000351,Office Supplies,Labels,Labels SKU-021 (Premium Quality),5.15,3,0.0,2.06
49,CA-2022-690144,2022-01-17,2022-01-21,Second Class,HDI-00080,Diana Jackson,Home Office,United States,Seattle,Washington,98103,West,OFF-AR-10000205,Office Supplies,Art,Art SKU-025 (Premium Quality),6.2,3,0.0,1.86
50,CA-2022-544423,2022-01-18,2022-01-18,Same Day,HHA-00070,Hannah Wilson,Home Office,United States,Boston,Massachusetts,02116,East,TEC-AC-10000440,Technology,Accessories,Accessories SKU-020 (Premium Quality),124.97,9,0.3,3.57
51,CA-2022-456245,2022-01-18,2022-01-20,Second Class,HJU-00034,Julia Lee,Home Office,United States,Milwaukee,Wisconsin,53202,Central,OFF-AR-10000202,Office Supplies,Art,Art SKU-022 (Premium Quality),5.5,5,0.0,1.65
52,CA-2022-316339,2022-01-19,2022-01-21,Second Class,CDA-00086,Davis Ltd #7,Corporate,United States,San Francisco,California,94110,West,TEC-PH-10000392,Technology,Phones,Phones SKU-002 (Premium Quality),512.62,7,0.0,153.78
53,CA-2022-428219,2022-01-19,2022-01-19,Same Day,CBR-00073,Brown Co #7,Corporate,United States,Las Vegas,Nevada,89101,West,FUR-TA-10000083,Furniture,Tables,Tables SKU-023 (Premium Quality),266.46,5,0.2,-39.97
54,CA-2022-438324,2022-01-19,2022-01-22,Second Class,CJO-00043,Joseph Johnson,Consumer,United States,Minneapolis,Minnesota,55401,Central,OFF-AR-10000206,Office Supplies,Art,Art SKU-026 (Premium Quality),1.27,2,0.0,0.38
55,CA-2022-253849,2022-01-19,2022-01-20,First Class,CAN-00058,Anderson Ventures #5,Corporate,United States,San Antonio,Texas,78201,Central,FUR-FU-10000120,Furniture,Furnishings,Furnishings SKU-030 (Premium Quality),38.14,8,0.2,0.0
56,CA-2022-615604,2022-01-19,2022-01-24,Standard Class,CJO-00115,John Brown,Consumer,United States,Raleigh,North Carolina,27601,South,FUR-TA-10000081,Furniture,Tables,Tables SKU-021 (Premium Quality),449.08,10,0.2,-67.37
57,CA-2022-878796,2022-01-20,2022-01-24,Standard Class,CJO-00150,Joseph Martin,Consumer,United States,Jacksonville,Florida,32202,South,FUR-TA-10000063,Furniture,Tables,Tables SKU-003 (Premium Quality),308.78,4,0.0,24.7
58,CA-2022-407565,2022-01-20,2022-01-21,First Class,CTH-00003,Thomas & Sons #9,Corporate,United States,Indianapolis,Indiana,46201,Central,TEC-CO-10000498,Technology,Copiers,Copiers SKU-018 (Premium Quality),833.85,3,0.0,375.23
59,CA-2022-810941,2022-01-21,2022-01-27,Standard Class,CJE-00032,Jennifer Rodriguez,Consumer,United States,Detroit,Michigan,48201,Central,TEC-PH-10000393,Technology,Phones,Phones SKU-003 (Premium Quality),212.65,8,0.4,-35.45
60,CA-2022-280016,2022-01-21,2022-01-21,Same Day,CPA-00113,Patricia Thomas,Consumer,United States,Detroit,Michigan,48201,Central,OFF-AR-10000210,Office Supplies,Art,Art SKU-030 (Premium Quality),1.11,1,0.0,0.33
61,CA-2022-670792,2022-01-21,2022-01-22,First Class,HRA-00061,Rachel Smith,Home Office,United States,Indianapolis,Indiana,46201,Central,OFF-EN-10000325,Office Supplies,Envelopes,Envelopes SKU-025 (Premium Quality),8.43,5,0.2,1.58
62,CA-2022-445987,2022-01-21,2022-01-28,Standard Class,CRI-00137,Richard Wilson,Consumer,United States,San Diego,California,92109,West,TEC-MA-10000471,Technology,Machines,Machines SKU-021 (Premium Quality),657.13,4,0.0,144.57
63,CA-2022-274138,2022-01-22,2022-01-24,Second Class,CRO-00104,Robert Martin,Consumer,United States,Philadelphia,Pennsylvania,19104,East,OFF-EN-10000330,Office Supplies,Envelopes,Envelopes SKU-030 (Premium Quality),1.64,1,0.0,0.57
64,CA-2022-283388,2022-01-22,2022-01-27,Standard Class,HET-00090,Ethan Rodriguez,Home Office,United States,Saint Louis,Missouri,63101,Central,FUR-CH-10000052,Furniture,Chairs,Chairs SKU-022 (Premium Quality),57.19,7,0.4,-23.83
65,CA-2022-717599,2022-01-22,2022-01-22,Same Day,HNO-00113,Nora Wilson,Home Office,United States,Portland,Oregon,97201,West,TEC-PH-10000396,Technology,Phones,Phones SKU-006 (Premium Quality),83.23,3,0.0,24.97
66,CA-2022-365015,2022-01-22,2022-01-25,Standard Class,CRO-00025,Robert Jackson,Consumer,United States,Tampa,Florida,33602,South,OFF-PA-10000214,Office Supplies,Paper,Paper SKU-004 (Premium Quality),4.5,2,0.1,1.5
67,CA-2022-267029,2022-01-22,2022-01-23,First Class,CRO-00062,Rodriguez Partners #2,Corporate,United States,San Diego,California,92109,West,FUR-CH-10000040,Furniture,Chairs,Chairs SKU-010 (Premium Quality),163.79,9,0.4,-68.24
68,CA-2022-494493,2022-01-23,2022-01-26,Standard Class,HBO-00036,Bob Anderson,Home Office,United States,Newark,New Jersey,07102,East,OFF-EN-10000328,Office Supplies,Envelopes,Envelopes SKU-028 (Premium Quality),4.99,2,0.0,1.75
69,CA-2022-501677,2022-01-23,2022-01-24,First Class,HOS-00141,Oscar Williams,Home Office,United States,Minneapolis,Minnesota,55401,Central,OFF-LA-10000356,Office Supplies,Labels,Labels SKU-026 (Premium Quality),0.88,2,0.0,0.35
70,CA-2022-529624,2022-01-24,2022-01-24,Same Day,CEL-00023,Elizabeth Jackson,Consumer,United States,Las Vegas,Nevada,89101,West,FUR-FU-10000093,Furniture,Furnishings,Furnishings SKU-003 (Premium Quality),21.87,6,0.4,-7.29
71,CA-2022-968175,2022-01-24,2022-01-28,Standard Class,HFI-00121,Fiona Smith,Home Office,United States,Phoenix,Arizona,85001,West,OFF-PA-10000212,Office Supplies,Paper,Paper SKU-002 (Premium Quality),24.52,7,0.2,6.13
72,CA-2022-817686,2022-01-24,2022-01-26,First Class,HHA-00052,Hannah Hernandez,Home Office,United States,Columbus,Ohio,43215,East,TEC-PH-10000418,Technology,Phones,Phones SKU-028 (Premium Quality),426.73,6,0.1,94.83
73,CA-2022-292205,2022-01-24,2022-01-28,Second Class,CRO-00028,Rodriguez Partners #9,Corporate,United States,Portland,Oregon,97201,West,TEC-CO-10000483,Technology,Copiers,Copiers SKU-003 (Premium Quality),576.41,6,0.2,180.13
74,CA-2022-459527,2022-01-24,2022-01-24,Same Day,CDA-00045,Davis Ltd #4,Corporate,United States,San Francisco,California,94110,West,OFF-AR-10000209,Office Supplies,Art,Art SKU-029 (Premium Quality),4.96,2,0.2,0.62
75,CA-2022-852201,2022-01-25,2022-01-27,First Class,CBA-00079,Barbara Smith,Consumer,United States,Portland,Oregon,97201,West,OFF-SU-10000287,Office Supplies,Supplies,Supplies SKU-017 (Premium Quality),118.92,10,0.2,-7.44
76,CA-2022-583220,2022-01-25,2022-01-28,Second Class,HSA-00095,Samuel Wilson,Home Office,United States,Denver,Colorado,80202,West,OFF-AP-10000127,Office Supplies,Appliances,Appliances SKU-007 (Premium Quality),21.7,1,0.0,5.42
77,CA-2022-838516,2022-01-26,2022-01-28,First Class,CPA-00055,Patricia Garcia,Consumer,United States,San Diego,California,92109,West,OFF-EN-10000304,Office Supplies,Envelopes,Envelopes SKU-004 (Premium Quality),0.54,2,0.0,0.19
78,CA-2022-329820,2022-01-26,2022-01-31,Standard Class,CRO-00005,Robert Martin,Consumer,United States,Atlanta,Georgia,30303,South,FUR-FU-10000101,Furniture,Furnishings,Furnishings SKU-011 (Premium Quality),49.54,9,0.5,-29.73
79,CA-2022-867543,2022-01-26,2022-01-27,First Class,HCH-00127,Charlie Garcia,Home Office,United States,Spokane,Washington,99201,West,OFF-FA-10000372,Office Supplies,Fasteners,Fasteners SKU-012 (Premium Quality),4.98,9,0.2,0.62
80,CA-2022-994016,2022-01-26,2022-01-29,Standard Class,CRI-00011,Richard Jackson,Consumer,United States,New York City,New York,10011,East,TEC-MA-10000472,Technology,Machines,Machines SKU-022 (Premium Quality),219.69,1,0.0,48.33
81,CA-2022-237386,2022-01-26,2022-01-27,First Class,CMA-00011,Martin Consulting #2,Corporate,United States,Salt Lake City,Utah,84101,West,OFF-EN-10000309,Office Supplies,Envelopes,Envelopes SKU-009 (Premium Quality),2.84,4,0.0,0.99
82,CA-2022-924837,2022-01-27,2022-01-31,Standard Class,HBO-00036,Bob Anderson,Home Office,United States,Denver,Colorado,80202,West,TEC-PH-10000417,Technology,Phones,Phones SKU-027 (Premium Quality),16.62,1,0.2,2.07
83,CA-2022-647514,2022-01-27,2022-01-30,Second Class,HSA-00147,Samuel Smith,Home Office,United States,San Francisco,California,94110,West,TEC-MA-10000480,Technology,Machines,Machines SKU-030 (Premium Quality),1312.42,8,0.3,-150.0
84,CA-2022-721418,2022-01-28,2022-01-28,Same Day,CTH-00036,Thomas Williams,Consumer,United States,Pittsburgh,Pennsylvania,15213,East,FUR-BO-10000027,Furniture,Bookcases,Bookcases SKU-027 (Premium Quality),59.28,3,0.4,-27.67
85,CA-2022-935567,2022-02-01,2022-02-01,Same Day,HOS-00067,Oscar Smith,Home Office,United States,Phoenix,Arizona,85001,West,FUR-TA-10000063,Furniture,Tables,Tables SKU-003 (Premium Quality),14.96,2,0.6,-19.44
86,CA-2022-103678,2022-02-01,2022-02-05,Second Class,HPE-00096,Penelope Moore,Home Office,United States,Los Angeles,California,90036,West,OFF-PA-10000235,Office Supplies,Paper,Paper SKU-025 (Premium Quality),29.81,7,0.0,11.92
87,CA-2022-509693,2022-02-01,2022-02-05,Second Class,CJE-00062,Jennifer Lee,Consumer,United States,Baltimore,Maryland,21201,East,FUR-CH-10000050,Furniture,Chairs,Chairs SKU-020 (Premium Quality),11.74,2,0.6,-13.21
88,CA-2022-233056,2022-02-01,2022-02-03,Second Class,HQU-00062,Quinn Davis,Home Office,United States,Las Vegas,Nevada,89101,West,TEC-MA-10000455,Technology,Machines,Machines SKU-005 (Premium Quality),443.62,8,0.4,-133.09
89,CA-2022-707102,2022-02-01,2022-02-01,Same Day,CJO-00148,Joseph Taylor,Consumer,United States,Saint Louis,Missouri,63101,Central,FUR-FU-10000111,Furniture,Furnishings,Furnishings SKU-021 (Premium Quality),11.67,1,0.0,2.34
90,CA-2022-519913,2022-02-02,2022-02-04,First Class,CJE-00032,Jennifer Rodriguez,Consumer,United States,San Diego,California,92109,West,OFF-BI-10000154,Office Supplies,Binders,Binders SKU-004 (Premium Quality),11.87,8,0.2,2.22
91,CA-2022-224853,2022-02-02,2022-02-03,First Class,CMI-00020,Michael Anderson,Consumer,United States,Philadelphia,Pennsylvania,19104,East,OFF-SU-10000272,Office Supplies,Supplies,Supplies SKU-002 (Premium Quality),55.85,7,0.1,3.1
92,CA-2022-273060,2022-02-02,2022-02-02,Same Day,CDA-00137,Davis Ltd #7,Corporate,United States,San Antonio,Texas,78201,Central,OFF-AP-10000150,Office Supplies,Appliances,Appliances SKU-030 (Premium Quality),165.74,10,0.4,-41.43
93,CA-2022-822924,2022-02-02,2022-02-05,Second Class,CMO-00150,Moore Industries #3,Corporate,United States,Detroit,Michigan,48201,Central,TEC-AC-10000423,Technology,Accessories,Accessories SKU-003 (Premium Quality),17.25,2,0.1,4.21
94,CA-2022-851742,2022-02-02,2022-02-06,Second Class,CRO-00125,Rodriguez Partners #8,Corporate,United States,Jacksonville,Florida,32202,South,FUR-TA-10000085,Furniture,Tables,Tables SKU-025 (Premium Quality),207.05,9,0.4,-110.43
95,CA-2022-834122,2022-02-03,2022-02-05,First Class,CSM-00060,Smith Corp #4,Corporate,United States,Virginia Beach,Virginia,23451,South,OFF-FA-10000380,Office Supplies,Fasteners,Fasteners SKU-020 (Premium Quality),5.71,5,0.1,1.27
96,CA-2022-738345,2022-02-03,2022-02-05,Second Class,HAL-00040,Alice Thomas,Home Office,United States,Salt Lake City,Utah,84101,West,TEC-PH-10000406,Technology,Phones,Phones SKU-016 (Premium Quality),85.64,4,0.2,10.7
97,CA-2022-256027,2022-02-03,2022-02-05,First Class,HOS-00076,Oscar Rodriguez,Home Office,United States,Tampa,Florida,33602,South,TEC-AC-10000435,Technology,Accessories,Accessories SKU-015 (Premium Quality),10.44,4,0.1,2.55
98,CA-2022-450475,2022-02-04,2022-02-06,First Class,HOS-00043,Oscar Jones,Home Office,United States,Philadelphia,Pennsylvania,19104,East,OFF-PA-10000226,Office Supplies,Paper,Paper SKU-016 (Premium Quality),12.01,3,0.0,4.81
99,CA-2022-648478,2022-02-04,2022-02-05,First Class,CMA-00056,Martin & Co #4,Corporate,United States,Portland,Oregon,97201,West,OFF-AP-10000129,Office Supplies,Appliances,Appliances SKU-009 (Premium Quality),86.63,6,0.1,14.44
100,CA-2022-934080,2022-02-05,2022-02-07,First Class,CPA-00093,Patricia Hernandez,Consumer,United States,Albany,New York,12203,East,FUR-CH-10000040,Furniture,Chairs,Chairs SKU-010 (Premium Quality),51.23,6,0.6,-57.63
101,CA-2022-406616,2022-02-05,2022-02-05,Same Day,CPA-00093,Patricia Hernandez,Consumer,United States,Spokane,Washington,99201,West,FUR-BO-10000023,Furniture,Bookcases,Bookcases SKU-023 (Premium Quality),134.2,10,0.4,-62.62
102,CA-2022-979007,2022-02-05,2022-02-07,First Class,CEL-00124,Elizabeth Jackson,Consumer,United States,Boston,Massachusetts,02116,East,FUR-TA-10000090,Furniture,Tables,Tables SKU-030 (Premium Quality),68.3,1,0.0,5.46
103,CA-2022-481377,2022-02-05,2022-02-05,Same Day,CMA-00056,Martin & Co #4,Corporate,United States,Newark,New Jersey,07102,East,TEC-CO-10000501,Technology,Copiers,Copiers SKU-021 (Premium Quality),245.12,3,0.0,110.3
104,CA-2022-146660,2022-02-05,2022-02-05,Same Day,HQU-00039,Quinn Martinez,Home Office,United States,Portland,Oregon,97201,West,OFF-AP-10000135,Office Supplies,Appliances,Appliances SKU-015 (Premium Quality),66.3,10,0.4,-16.58
105,CA-2022-894101,2022-02-06,2022-02-09,Second Class,CSA-00083,Sarah Williams,Consumer,United States,Salt Lake City,Utah,84101,West,TEC-PH-10000418,Technology,Phones,Phones SKU-028 (Premium Quality),266.86,4,0.0,80.06
106,CA-2022-164179,2022-02-06,2022-02-06,Same Day,CSU-00072,Susan Brown,Consumer,United States,Milwaukee,Wisconsin,53202,Central,FUR-BO-10000021,Furniture,Bookcases,Bookcases SKU-021 (Premium Quality),100.37,5,0.2,-10.03
107,CA-2022-755701,2022-02-06,2022-02-10,Standard Class,CWI-00091,Wilson Holdings #4,Corporate,United States,Seattle,Washington,98103,West,FUR-BO-10000013,Furniture,Bookcases,Bookcases SKU-013 (Premium Quality),118.31,3,0.0,14.2
108,CA-2022-100223,2022-02-06,2022-02-08,First Class,CJE-00052,Jessica Rodriguez,Consumer,United States,Chicago,Illinois,60611,Central,OFF-SU-10000299,Office Supplies,Supplies,Supplies SKU-029 (Premium Quality),1.94,1,0.1,0.11
109,CA-2022-219618,2022-02-06,2022-02-10,Second Class,CMA-00016,Mary Rodriguez,Consumer,United States,Atlanta,Georgia,30303,South,OFF-SU-10000271,Office Supplies,Supplies,Supplies SKU-001 (Premium Quality),45.02,7,0.2,-2.81
110,CA-2022-941112,2022-02-06,2022-02-10,Standard Class,HCH-00118,Charlie Miller,Home Office,United States,Portland,Oregon,97201,West,OFF-BI-10000160,Office Supplies,Binders,Binders SKU-010 (Premium Quality),8.65,5,0.0,3.03
111,CA-2022-535804,2022-02-07,2022-02-08,First Class,HIA-00148,Ian Martin,Home Office,United States,Virginia Beach,Virginia,23451,South,OFF-FA-10000384,Office Supplies,Fasteners,Fasteners SKU-024 (Premium Quality),3.54,4,0.1,0.78
112,CA-2022-678888,2022-02-08,2022-02-12,Standard Class,CCH-00073,Charles Martin,Consumer,United States,Spokane,Washington,99201,West,TEC-AC-10000439,Technology,Accessories,Accessories SKU-019 (Premium Quality),45.87,3,0.1,11.22
